img,title,link
http://www.zdnet.co.kr/images/default.png,"""AI, 일자리를 빼앗지 않고 일하는 방식 혁신할 것""",http://www.zdnet.co.kr/view/?no=20200102141508
http://www.zdnet.co.kr/images/default.png,AI 시대 이용자보호 정책 전담조직 생긴다,http://www.zdnet.co.kr/view/?no=20200102111519
http://www.zdnet.co.kr/images/default.png,"산업부, 디지털통상 전문인력 양성한다",http://www.zdnet.co.kr/view/?no=20200102110525
http://www.zdnet.co.kr/images/default.png,"구글 딥마인드 ""의사보다 유방암 오판율 낮은 AI모델 개발""",http://www.zdnet.co.kr/view/?no=20200102101522
http://www.zdnet.co.kr/images/default.png,마이너리티 리포트가 현실로…'AI+CCTV'로 범죄 예측 가능해진다,http://www.zdnet.co.kr/view/?no=20200102091441
http://www.zdnet.co.kr/images/default.png,"뤼이드, 1억 건 넘는 AI 학습 데이터 공개",http://www.zdnet.co.kr/view/?no=20200102091438
http://www.zdnet.co.kr/images/default.png,인간 지식 넘보는 AI...'사람 중심' 윤리 기준 필수,http://www.zdnet.co.kr/view/?no=20191231230024
http://www.zdnet.co.kr/images/default.png,AI에 힘 싣는 정부…“스타트업 중심 생태계 구축해야”,http://www.zdnet.co.kr/view/?no=20191231173435
http://www.zdnet.co.kr/images/default.png,"ICT강국 넘어 AI강국으로… AI코리아, 구호 아닌 실행이다",http://www.zdnet.co.kr/view/?no=20191231102609
http://www.zdnet.co.kr/images/default.png,인민일보가 새해 꼽은 '中 인터넷 5大 키워드',http://www.zdnet.co.kr/view/?no=20200101142343
http://www.zdnet.co.kr/images/default.png,"""韓 AI 기술·인재 등 부족…지속적 발전 정책 필요""",http://www.zdnet.co.kr/view/?no=20200101124834
http://www.zdnet.co.kr/images/default.png,[신년사] 성윤모 산업부 장관 “실물경제 회복하고 소부장·신산업 정책 성과 가시화”,http://www.zdnet.co.kr/view/?no=20200101055726
http://www.zdnet.co.kr/images/default.png,"'반도체 굴기' 성과 낸 中..""신기술 확보 필요해""",http://www.zdnet.co.kr/view/?no=20191231105746
http://www.zdnet.co.kr/images/default.png,최기영 장관 “2020년 AI 강국·미디어 생태계 조성”,http://www.zdnet.co.kr/view/?no=20191231103105
http://www.zdnet.co.kr/images/default.png,中 베이징서 '기사없는 택시' 등장한다,http://www.zdnet.co.kr/view/?no=20191231090244
http://www.zdnet.co.kr/images/default.png,"NIA, '공공기관 신뢰가능 AI 구현 실용가이드' 발간",http://www.zdnet.co.kr/view/?no=20191230152910
http://www.zdnet.co.kr/images/default.png,"SAS, 2020년 데이터 분석 대중화 목표",http://www.zdnet.co.kr/view/?no=20191230133412
http://image.zdnet.co.kr/2019/12/30/hjyoo_oHrLVhfdfpjoLB.jpg,"""이번엔 자동차"" 中 화웨이 차량 시스템 첫 상용화",http://www.zdnet.co.kr/view/?no=20191230080629
http://image.zdnet.co.kr/2019/12/30/paikshow_Euk9tXD7UHV.jpg,"유라이크코리아, 말 전용 헬스케어 기술 개발",http://www.zdnet.co.kr/view/?no=20191230084258
http://www.zdnet.co.kr/images/default.png,"오토메이션애니웨어, 2020년 RPA 저변 확대 박차",http://www.zdnet.co.kr/view/?no=20191227193138
http://www.zdnet.co.kr/images/default.png,"드론 공룡의 변신...中 DJI, '자율주행' 시장 진출",http://www.zdnet.co.kr/view/?no=20191229100612
http://www.zdnet.co.kr/images/default.png,[독일의 제조분야 디지털 트랜스포메이션] 16부 - 인더스트리 4.0에서 디지털 트윈 구현을 위한 AAS,http://www.zdnet.co.kr/view/?no=20191227090925
http://www.zdnet.co.kr/images/default.png,"中, 목소리 신분인식 기술 개발...3년 내 전국 적용",http://www.zdnet.co.kr/view/?no=20191227082825
http://www.zdnet.co.kr/images/default.png,"마우저와 NXP, 인공지능 분석 담은 전자책 발간",http://www.zdnet.co.kr/view/?no=20191226225506
http://www.zdnet.co.kr/images/default.png,"라온피플 AI머신비전, 공장 넘어 도시까지 바꾼다",http://www.zdnet.co.kr/view/?no=20191224120303
http://www.zdnet.co.kr/images/default.png,"네이버-현대해상, '헬스케어+AI' 힘 모은다",http://www.zdnet.co.kr/view/?no=20191224103924
http://www.zdnet.co.kr/images/default.png,"쏘카, 블랙박스 영상 분석대회 성황리 종료",http://www.zdnet.co.kr/view/?no=20191224090212
http://www.zdnet.co.kr/images/default.png,"티맥스, 2020년 신규 시장 도전 본격화한다",http://www.zdnet.co.kr/view/?no=20191223191428
http://www.zdnet.co.kr/images/default.png,"애자일소다, 60억 규모 시리즈 A 투자 유치",http://www.zdnet.co.kr/view/?no=20191223193855
http://www.zdnet.co.kr/images/default.png,네이버 라인-야후재팬 경영통합 본계약 체결,http://www.zdnet.co.kr/view/?no=20191223174622
http://www.zdnet.co.kr/images/default.png,중국 발표 AI 논문 유럽 전체 합친 것보다 많아,http://www.zdnet.co.kr/view/?no=20191220092654
http://www.zdnet.co.kr/images/default.png,"이승협 원장 ""의료데이터 표준화로 글로벌 경쟁력 갖춘다""",http://www.zdnet.co.kr/view/?no=20191219181524
http://www.zdnet.co.kr/images/default.png,"고학수 서울대 교수, 한국인공지능법학회 신임 회장 선임",http://www.zdnet.co.kr/view/?no=20191219113905
http://www.zdnet.co.kr/images/default.png,올해 중국 AI 기업 투자 규모 큰 폭으로 꺾일 듯,http://www.zdnet.co.kr/view/?no=20191219090019
http://www.zdnet.co.kr/images/default.png,"“제작 복잡한 영상 콘텐츠, AI가 자동으로 만든다”",http://www.zdnet.co.kr/view/?no=20191218181550
http://www.zdnet.co.kr/images/default.png,"""AI 환상 버리고, 시장 파악 세밀히 해야""",http://www.zdnet.co.kr/view/?no=20191218171312
http://www.zdnet.co.kr/images/default.png,"""시간이 곧 돈인 제조현장, 딥러닝으로 경쟁력 높여야""",http://www.zdnet.co.kr/view/?no=20191218152315
http://image.zdnet.co.kr/2019/12/18/yoyoma_PogjstOLXgfGF.jpg,"""AI, 20년 노하우 농장주보다 소 분만일 예측 더 정확""",http://www.zdnet.co.kr/view/?no=20191218152742
http://image.zdnet.co.kr/2019/12/18/sun1108_f6EndqZss63A.jpg,"“교육 시장, AI로 변화 중…학습 패러다임 바꿀 것 ”",http://www.zdnet.co.kr/view/?no=20191218150839
http://www.zdnet.co.kr/images/default.png,"AI머신비전, 스마트팩토리 대세된 이유는?",http://www.zdnet.co.kr/view/?no=20191218115730
http://www.zdnet.co.kr/images/default.png,바이두 삼성 파운드리로 AI 칩 만든다..내년 양산,http://www.zdnet.co.kr/view/?no=20191218090226
http://www.zdnet.co.kr/images/default.png,"“AI 강국으로 도약, 어렵지만 가능한 목표”",http://www.zdnet.co.kr/view/?no=20191217180840
http://www.zdnet.co.kr/images/default.png,"AWS, NFL과 선수 헬스케어 파트너십 체결",http://www.zdnet.co.kr/view/?no=20191217184130
http://www.zdnet.co.kr/images/default.png,"""블록체인, 로봇이 지배하는 세상 막을 대안""",http://www.zdnet.co.kr/view/?no=20191217163229
http://www.zdnet.co.kr/images/default.png,"""4차산업혁명 핵심 과제...인재 양성과 일자리 창출""",http://www.zdnet.co.kr/view/?no=20191217154621
http://www.zdnet.co.kr/images/default.png,"AI 국가전략 실행, 대통령이 직접 챙긴다",http://www.zdnet.co.kr/view/?no=20191217150923
http://www.zdnet.co.kr/images/default.png,AI 국가 전략 핵심은 '활용'…인재 키우고 부작용 줄인다,http://www.zdnet.co.kr/view/?no=20191217133355
http://www.zdnet.co.kr/images/default.png,씨엔티테크가 꼽은 2020 스타트업 트렌드 '이것',http://www.zdnet.co.kr/view/?no=20191217143643
http://www.zdnet.co.kr/images/default.png,"인텔, 이스라엘 AI 칩 제조사 '하바나랩스' 인수",http://www.zdnet.co.kr/view/?no=20191217010442
http://www.zdnet.co.kr/images/default.png,AI 국가전략 왜 만들었나…“미래세대 운명 좌우”,http://www.zdnet.co.kr/view/?no=20191217120040
http://www.zdnet.co.kr/images/default.png,“AI로 455조 경제 창출”…'AI 국가전략' 확정,http://www.zdnet.co.kr/view/?no=20191217104605
http://www.zdnet.co.kr/images/default.png,생활 데이터 자유롭게 거래하는 시대 열렸다,http://www.zdnet.co.kr/view/?no=20191217094346
http://www.zdnet.co.kr/images/default.png,"마이다스아이티 ""해군도 AI로 역량 검사""",http://www.zdnet.co.kr/view/?no=20191216170602
http://www.zdnet.co.kr/images/default.png,"IBM, AI 기반 기상예측 시스템 서비스 본격화",http://www.zdnet.co.kr/view/?no=20191216163424
http://www.zdnet.co.kr/images/default.png,AI와 교육의 융합...맞춤 교육 시대 온다,http://www.zdnet.co.kr/view/?no=20191216142607
http://www.zdnet.co.kr/images/default.png,"뤼이드, AI 서밋 뉴욕서 교육 AI 비전 제시",http://www.zdnet.co.kr/view/?no=20191216144956
http://www.zdnet.co.kr/images/default.png,권오정 KTR 원장 “시험인증도 R&D 단계부터 참여해 기여해야”,http://www.zdnet.co.kr/view/?no=20191216111724
http://image.zdnet.co.kr/2019/12/13/pym_mORNhX5uG0dN5llZ.jpg,3년 뒤 17兆 시장…'AI 머신비전' 기업의 노하우는?,http://www.zdnet.co.kr/view/?no=20191213123239
http://image.zdnet.co.kr/2019/12/13/firstblood_8VFm4jIYS.jpg,"델 테크놀로지스, 슈퍼컴퓨팅·AI 전용 신규 솔루션 발표",http://www.zdnet.co.kr/view/?no=20191213115401
http://www.zdnet.co.kr/images/default.png,"CJ올리브네트웍스, 전사 임직원 AI교육 운영 결과 공개",http://www.zdnet.co.kr/view/?no=20191212150511
http://www.zdnet.co.kr/images/default.png,AI 기술로 레고 블록 자동으로 분류한다,http://www.zdnet.co.kr/view/?no=20191212103442
http://www.zdnet.co.kr/images/default.png,"구글, AI가 선별한 유익한 기사 상단에 먼저 표출",http://www.zdnet.co.kr/view/?no=20191212095140
http://www.zdnet.co.kr/images/default.png,"삼성전기, AI 기술로 '1천억원' 아낀다",http://www.zdnet.co.kr/view/?no=20191212091448
http://www.zdnet.co.kr/images/default.png,"내년 ICT 부처 예산, AI·소부장 중심으로 확대",http://www.zdnet.co.kr/view/?no=20191211150537
http://www.zdnet.co.kr/images/default.png,"찾아가는 복지 서비스, ICT로 실현한다",http://www.zdnet.co.kr/view/?no=20191210172023
http://www.zdnet.co.kr/images/default.png,"LG전자, 구글·페북 모인 AI 서밋서 '씽큐' 알린다",http://www.zdnet.co.kr/view/?no=20191211085835
http://www.zdnet.co.kr/images/default.png,"알리바바 클라우드, 국내 중소기업 아시아 진출 지원",http://www.zdnet.co.kr/view/?no=20191210174225
http://www.zdnet.co.kr/images/default.png,"화웨이, 폰·태블릿·PC 외 모든 제품에 '훙멍OS' 적용",http://www.zdnet.co.kr/view/?no=20191210091152
http://www.zdnet.co.kr/images/default.png,[영상] LG 올레드 TV B9…“4K?돌비 비전에 AI 탑재”,http://www.zdnet.co.kr/view/?no=20191203171641
http://www.zdnet.co.kr/images/default.png,기업 AI 활용 가속도 붙는다,http://www.zdnet.co.kr/view/?no=20191209163318
http://www.zdnet.co.kr/images/default.png,"“AI 특허, 데이터 처리 컴퓨터상서 이뤄진다는 점 명확해야”",http://www.zdnet.co.kr/view/?no=20191209144407
http://www.zdnet.co.kr/images/default.png,내년 국가정보화 예산 5.2兆...25%는 AI 적용,http://www.zdnet.co.kr/view/?no=20191209103149
http://www.zdnet.co.kr/images/default.png,"세종텔레콤-셀바스AI, 'AI 비즈니스 활성화' MOU",http://www.zdnet.co.kr/view/?no=20191209102906
http://www.zdnet.co.kr/images/default.png,한국인공지능교육학회 창립총회 개최,http://www.zdnet.co.kr/view/?no=20191209102251
http://www.zdnet.co.kr/images/default.png,"MS, AI 신뢰 위해 블록체인 적용",http://www.zdnet.co.kr/view/?no=20191209074240
http://www.zdnet.co.kr/images/default.png,中 AI 특허 신청 1위 바이두...삼성은 6위,http://www.zdnet.co.kr/view/?no=20191206085414
http://www.zdnet.co.kr/images/default.png,"MS, 시각장애인 보조 앱 지원 언어 확대",http://www.zdnet.co.kr/view/?no=20191205094403
